Time,50990.0
Qrx,492.8165052631579
Qth,530.0657736842104
Qtrans,515.4508894736842
Flowv,30017340.0
Pp,2050.4222631578946
Px,2050.0202105263165
PxIND,2050.0202105263165
PRZLVL,56.100327368421055
PRZLVLIND,56.100327368421055
VelSRG,-0.0019405890789473686
QHTRP,10.14337
QHTRB,0.0
SCV Position,0.0
Spray GPM,0.9989735315789474
THL,610.6270421052633
THL Ind,610.6270421052633
TCL,565.5563842105264
TCL Ind,565.5563842105264
TaveREF,588.0000684210527
Tave,588.0917000000001
Tave Ind,588.0917000000001
Tmod,588.0917000000001
Flow SFWS,0.0
Flow FD,266207.0315789473
Flow FD Ind,266207.0315789473
Demand,266204.1263157896
Steam Flow,266208.7947368421
Steam Flow Ind,266208.7947368421
Wload,180.0
Wturb,180.00132631578947
Omega FP,3708.5550526315797
Texit SG 1,571.3764052631578
Texit SG IND,571.3764052631578
SG Exit Void,1.0
Dryout 1,63.92953684210525
SGLVL Ind,13.776496315789473
Trx,985.394342105263
TCL Hot,2460.201210526315
MDNBR,3.1336308421052634
Tfeed,413.9430684210526
TfeedIND,413.9430684210526
Qsteam,532.0608842105263
PSG,824.9997736842105
PSG Ind,824.9997736842105
Pimp,801.9494315789473
DeltaP SG,4.5666821578947365
DeltaP SG IND,4.5666821578947365
DP elev SG,2.365158210526316
Deltat,0.013951487368421051
rho,2.2959878947368423e-08
rhoX,0.0002037879999999999
FCV,0.7845435
FBV,0.0
SFWV,0.0
TCV 1,0.810612
TCV 2,0.810612
TCV 3,0.810612
TCV 4,0.810612
TBV 1,0.0
TBV 2,0.0
TBV 3,0.0
TBV 4,0.0
BANK A,114.0
BANK B,114.0
BANK C,114.0
BANK D,108.99919999999999
RhoCBA,8.122977999999997e-12
RhoCBB,-1.1086839999999997e-11
RhoCBC,-6.116077000000002e-12
RhoCBD,-0.00016057559999999995
TESLoad,0.0
TESFlowDemand,0.0
FlowAUX1,0.0
FlowAUX2,0.0
FlowAUX3,0.0
PTAP,42.97721842105264
Tsat Tap,271.8349894736843
PTES,0.7100000000000003
TES_TBV(1),0.0
TES_TBV(2),0.0
TES_TBV(3),0.0
TES_TBV(4),0.0
